type,latitude,longitude,altitude (m),name
T,12.918875967,77.642245771,878.1,
T,12.918884005,77.642252035,878.1,
T,12.918892043,77.642258299,878.1,
T,12.918900080,77.642264563,878.1,
T,12.918908118,77.642270827,878.1,
T,12.918916156,77.642277090,878.1,
T,12.918924193,77.642283354,878.1,
T,12.918932231,77.642289618,878.1,
T,12.918940269,77.642295882,878.1,
T,12.918948307,77.642302146,878.0,
T,12.918956344,77.642308410,878.0,
T,12.918964382,77.642314673,878.0,
T,12.918972420,77.642320937,878.0,
T,12.918980457,77.642327201,878.0,
T,12.918988495,77.642333465,878.0,
T,12.918996533,77.642339729,878.0,
T,12.919004570,77.642345992,878.0,
T,12.919012608,77.642352256,878.0,
T,12.919020646,77.642358520,878.0,
T,12.919028683,77.642364784,878.0,
T,12.919036721,77.642371048,878.0,
T,12.919044759,77.642377312,878.0,
T,12.919052796,77.642383575,878.0,
T,12.919060834,77.642389839,878.0,
T,12.919068872,77.642396103,878.0,
T,12.919076910,77.642402367,878.0,
T,12.919084947,77.642408631,878.0,
T,12.919092985,77.642414894,878.0,
T,12.919101023,77.642421158,878.0,
T,12.919109060,77.642427422,878.0,
T,12.919117098,77.642433686,878.0,
T,12.919125136,77.642439950,878.0,
T,12.919133173,77.642446214,878.0,
T,12.919141211,77.642452477,877.9,
T,12.919149249,77.642458741,877.9,
T,12.919157286,77.642465005,877.9,
T,12.919165324,77.642471269,877.9,
T,12.919173362,77.642477533,877.9,
T,12.919181399,77.642483796,878.0,
T,12.919189437,77.642490060,878.0,
T,12.919197475,77.642496324,878.0,
T,12.919205513,77.642502588,878.0,
T,12.919213550,77.642508852,878.0,
T,12.919221588,77.642515116,878.1,
T,12.919229626,77.642521379,878.1,
T,12.919237663,77.642527643,878.1,
T,12.919245701,77.642533907,878.2,
T,12.919253739,77.642540171,878.2,
T,12.919261776,77.642546435,878.2,
T,12.919269814,77.642552698,878.2,
T,12.919277852,77.642558962,878.3,
T,12.919285889,77.642565226,878.3,
T,12.919293927,77.642571490,878.3,
T,12.919301965,77.642577754,878.3,
T,12.919310003,77.642584018,878.4,
T,12.919318040,77.642590281,878.4,
T,12.919326078,77.642596545,878.4,
T,12.919334116,77.642602809,878.4,
T,12.919342153,77.642609073,878.4,
T,12.919350191,77.642615337,878.5,
T,12.919358229,77.642621601,878.5,
T,12.919366266,77.642627864,878.5,
T,12.919374304,77.642634128,878.5,
T,12.919382342,77.642640392,878.5,
T,12.919390379,77.642646656,878.6,
T,12.919398417,77.642652920,878.6,
T,12.919406455,77.642659183,878.6,
T,12.919414492,77.642665447,878.6,
T,12.919422530,77.642671711,878.6,
T,12.919430568,77.642677975,878.7,
T,12.919438606,77.642684239,878.7,
T,12.919446643,77.642690503,878.7,
T,12.919454681,77.642696766,878.7,
T,12.919462719,77.642703030,878.7,
T,12.919470756,77.642709294,878.7,
T,12.919478794,77.642715558,878.7,
T,12.919486832,77.642721822,878.8,
T,12.919494869,77.642728085,878.8,
T,12.919502907,77.642734349,878.8,
T,12.919510945,77.642740613,878.8,
T,12.919518982,77.642746877,878.8,
T,12.919527020,77.642753141,878.8,
T,12.919535058,77.642759405,878.8,
T,12.919543095,77.642765668,878.8,
T,12.919551133,77.642771932,878.9,
T,12.919559171,77.642778196,878.9,
T,12.919567209,77.642784460,878.9,
T,12.919575246,77.642790724,878.9,
T,12.919583284,77.642796987,878.9,
T,12.919591322,77.642803251,878.9,
T,12.919599359,77.642809515,878.9,
T,12.919607397,77.642815779,878.9,
T,12.919615435,77.642822043,878.9,
T,12.919623472,77.642828307,878.9,
T,12.919631510,77.642834570,878.9,
T,12.919639548,77.642840834,878.9,
T,12.919647585,77.642847098,878.9,
T,12.919655623,77.642853362,879.0,
T,12.919663661,77.642859626,879.0,
T,12.919671698,77.642865889,879.0,
T,12.919679736,77.642872153,879.0,
T,12.919687774,77.642878417,879.0,
